Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.6727702,0.4824313,9.561237,0.20000005,-31.2,-45.6,-0.0138346,-0.0095778,-0.0170272,,0.035742786,-0.017146902,-0.99765706,0.055758193
-0.7146687,0.5099646,9.465469,0.20000005,-31.2,-45.6,-0.0063852,-0.0021284,-0.015963,,0.035655398,-0.017048873,-0.9976725,0.055567097
-0.6907267,0.4932052,9.4642725,-0.39999998,-30.0,-43.8,-0.0074494,-0.005321,-0.015963,,0.035651844,-0.017039353,-0.99768096,0.05542022
-0.6883325,0.5003878,9.484623,-0.39999998,-30.0,-43.8,-0.0085136,-0.005321,-0.0148988,,0.035616636,-0.01702303,-0.9976903,0.05527934
-0.6967122,0.490811,9.51096,-0.39999998,-30.0,-44.4,-0.0095778,-0.005321,-0.015963,,0.035571903,-0.016975963,-0.9977017,0.0551173
-0.7026977,0.4812342,9.509763,-0.39999998,-30.0,-44.4,-0.0074494,-0.0042568,-0.015963,,0.03554062,-0.016932823,-0.99771124,0.054976773
-0.7170629,0.4991907,9.476244,-0.39999998,-29.4,-44.4,-0.0063852,-0.0031926,-0.015963,,0.035527546,-0.016916424,-0.99771976,0.054835565
-0.6655876,0.4884168,9.475046,-0.39999998,-29.4,-44.4,-0.0085136,-0.0063852,-0.0138346,,0.035498507,-0.016894167,-0.9977306,0.054663595
-0.6811499,0.4860226,9.481032,-0.39999998,-29.4,-44.4,-0.0063852,-0.0042568,-0.0138346,,0.035450827,-0.016866628,-0.9977393,0.05454433
-0.6991064,0.4812342,9.4882145,-1.6,-30.0,-44.4,-0.0063852,-0.0042568,-0.015963,,0.03543136,-0.016856056,-0.9977467,0.054424297
-0.6955151,0.4944023,9.487018,-1.6,-30.0,-44.4,-0.0074494,-0.0042568,-0.0148988,,0.035411816,-0.01685002,-0.9977541,0.054303795
-0.6895296,0.5003878,9.489411,-0.39999998,-30.6,-43.8,-0.0063852,-0.005321,-0.0148988,,0.03538077,-0.016822463,-0.9977633,0.05416392
-0.6907267,0.47884,9.524128,-0.39999998,-30.6,-43.8,-0.0063852,-0.0042568,-0.015963,,0.03534795,-0.016812619,-0.99777174,0.054031625
-0.7050919,0.4979936,9.489411,-0.39999998,-29.4,-44.4,-0.005321,-0.0042568,-0.0148988,,0.03533296,-0.016810087,-0.99777997,0.05389001
